n,rep,alpha,r,sw_TAVIE,sw_ADVI_mf,sw_ADVI_fr,sw_DADVI,time_NUTS,time_TAVIE,time_ADVI_mf,time_ADVI_fr,time_DADVI,num_true_samples
1000,5,1.0,10,0.003616254396133579,0.804388173293382,0.6919983745163815,0.002038482130636969,12.583932499999946,0.031248083000036786,1.5446589580000136,3.6225492920000306,0.7191558750000695,8000
1000,6,1.0,10,0.003699224697717133,0.9375786128726215,0.6291660443592801,0.0028343040407481958,12.727987459000019,0.03266437499996755,0.8597760000000108,4.172441999999933,0.7569327919999296,8000
1000,7,1.0,10,0.0036988401762446106,0.8028596152845272,0.7056964593996172,0.0016780575862077188,12.08646962499995,0.025573458999929244,1.0999753329999749,3.069484665999994,0.7257607500000631,8000
1000,8,1.0,10,0.003943523881327297,1.1244727721881427,0.7618935570672594,0.002567547434527133,11.755093209000052,0.0328201249999438,0.6128529160000653,3.0040998750000654,0.7328524580000249,8000
1000,9,1.0,10,0.0037515340296923965,1.285647727651307,0.7296618447297157,0.002157675269550766,13.133206624999957,0.029139459000020906,0.49113841700000194,3.210831374999998,0.7262370830000009,8000
1000,10,1.0,10,0.003637449758005092,0.9262093497338795,0.18845843528019054,0.0027700829186635455,12.828541542000039,0.05262874999993983,0.9457826670000031,7.6264388749999625,0.7645878329999505,8000
2000,1,1.0,10,0.002752652869809376,0.7548574075297816,0.5045716830976128,0.0011462161391920076,17.785139917000038,0.05729558400003043,1.6468988749999198,5.726821666999967,1.2551527910000004,8000
2000,2,1.0,10,0.0027205634733866477,0.8056205112337597,0.6408463306910428,0.0013652134113742716,18.278464041999996,0.03868033399999149,1.0795064999999795,4.529459249999945,1.0111859589999312,8000
2000,3,1.0,10,0.002542333599675764,0.9304809329276146,1.0456188072203763,0.001702600190781872,17.632881416999908,0.03345820900005947,0.7440699580000683,1.9325506669999868,0.9813736669999571,8000
2000,4,1.0,10,0.0028351031971339826,0.7481259703841457,0.7904981851095801,0.0015066898117592354,17.658901541999967,0.04548245799992401,1.3145558329999858,2.490590207999958,1.0416288750000149,8000
2000,5,1.0,10,0.002823681672843065,1.3261775660358195,0.7310051209322573,0.0018588909825432655,17.573893333,0.047014249999961066,0.43315533399993456,3.6177866670000185,1.4819700000000466,8000
2000,6,1.0,10,0.002521376334663798,0.9375531012352241,1.0732211308926662,0.0019686339773642195,21.546260915999937,0.05332674999999654,1.4064761670000507,6.8114769160000606,2.224105375000022,8000
2000,7,1.0,10,0.0029480407242426453,1.0315094241833422,0.788845784280164,0.0022944562809272544,27.377537167000014,0.07196270800000093,0.7430634589999272,2.9529395829999885,1.2792014999999992,8000
2000,8,1.0,10,0.0025599893371242946,1.2051116074322918,0.7818941019864296,0.0013403928572324419,17.87013654100008,0.05053758399992603,0.633734790999938,2.9045965420000357,1.4131987920000029,8000
2000,9,1.0,10,0.002713320341726835,1.1275922549528885,0.7107119983877258,0.0017773235775870933,21.004734125000027,0.06077425000000858,0.9020167500000298,4.395798207999974,1.0640839589999587,8000
2000,10,1.0,10,0.0026642543537995023,0.9356699003782281,0.2676610839062105,0.0016713064463025158,21.08078175000003,0.042819917000088026,0.9065399579999394,6.895997500000021,1.1044780830000036,8000
