n,rep,alpha,df,sw_TAVIE,sw_MFVI,sw_DADVI,sw_ADVI_mf,sw_ADVI_fr,time_NUTS,time_TAVIE,time_MFVI,time_DADVI,time_ADVI_mf,time_ADVI_fr,num_true_samples
500,10,1.0,5,0.005403030261440682,0.008409134864184237,0.007894706584225754,0.28414794096074014,0.18241371794642375,9.325241750000032,0.005626707999965674,0.003349458999991839,1.4775402079999935,5.168318750000026,11.005430957999977,8000
1000,1,1.0,5,0.0035992600848548085,0.004924525403075077,0.003129812535256705,0.20947884715274467,0.35456324812005824,11.374611000000016,0.007932832999927086,0.005023416999961228,1.0438249999999698,5.7937427499999785,5.726898207999966,8000
1000,2,1.0,5,0.0033562645873804805,0.005058157082534948,0.005169993388536349,0.9605468921957149,0.22284603964043753,10.652755959000046,0.008194833999937146,0.005370957999957682,1.0152229159999706,1.0150145840000278,8.506487375000006,8000
1000,3,1.0,5,0.00344036594908064,0.005541056436700529,0.004195799956798026,0.18483348556190976,0.6480629111762857,11.21465466699999,0.008647916999962035,0.005234665999978461,1.0472092080000266,6.325496000000044,3.6620155410000734,8000
1000,4,1.0,5,0.0032637317586465564,0.005060212956924468,0.005431941122909041,0.5734555849326566,0.1823777332483119,10.827368000000092,0.008860749999939799,0.004890082999963852,1.752876707999917,3.1239530829999467,8.978941458000008,8000
1000,5,1.0,5,0.0036388306786421126,0.005099673025301526,0.003971439262553322,0.21264960946551753,0.17825085286496115,11.868372790999956,0.009640708999995695,0.0053580830000328206,1.0995626669999865,6.315278124999963,9.886147832999995,8000
1000,6,1.0,5,0.00359461793689363,0.005130569543733825,0.00385801703294743,0.6927664124904309,0.5973774327918887,11.010976084000049,0.007752374999995482,0.0050796250000075815,0.9738096250000581,1.9804635000000417,3.4502269160000196,8000
1000,7,1.0,5,0.0035540707111005837,0.0053610839392093474,0.003236366594451038,0.47059633163886755,0.431963995708095,10.653888958000039,0.00807495900005506,0.004769667000005029,1.1519562089999908,3.4137879579999435,5.13236100000006,8000
1000,8,1.0,5,0.003624623208236575,0.005682710832593821,0.003850416642735238,0.2796197597997084,0.1952708556576802,11.509667541999988,0.007862625000029766,0.00498616699997001,1.0373646250000093,4.8333020840000245,8.537671374999945,8000
1000,9,1.0,5,0.003452359199910741,0.004908155233102611,0.003665452357194546,0.6383344232567436,0.43178850156830734,10.735349584000005,0.007759792000001653,0.004902249999986452,1.0526477500000055,2.235902874999965,4.899922417000084,8000
1000,10,1.0,5,0.003284022264230834,0.00486736065545351,0.003188587160397319,0.5121469909035132,0.35753873823101845,11.114202874999933,0.008090041999935238,0.005120250000004489,1.02105537500006,3.1789124580000134,6.120547458000033,8000
2000,1,1.0,5,0.002346797660936179,0.0030785364185110424,0.0022931940443592456,0.18188118345734222,0.490000364655033,13.167863666000017,0.011663042000009227,0.0063675000000102955,1.909379749999971,6.716645457999903,4.7621731670000145,8000
2000,2,1.0,5,0.002543686969889767,0.0030900363452195574,0.00288073970413527,0.4255662079378239,0.907563417775174,13.556076249999933,0.018770208999967508,0.015409332999979597,1.3035302089999732,3.618426583000087,1.7320393749999994,8000
2000,3,1.0,5,0.002531766743301911,0.0030363484401924818,0.003024235257239616,0.750073433480542,0.2960302549739825,13.154300124999963,0.018568542000025445,0.006612499999960164,1.6826632919999156,1.6613742079999838,6.487583375000099,8000
2000,4,1.0,5,0.0024647215374298675,0.002911344860756508,0.003773066097341051,0.4480163044179069,0.23472677511186021,13.001142875000028,0.013369375000024775,0.006933791000051315,1.1741778330000443,3.559398834000035,7.726682500000038,8000
2000,5,1.0,5,0.002272239290677834,0.002944409939459307,0.005965416731948139,0.17759552686281746,0.1786936375188833,13.331503666999993,0.01244770799996786,0.006460625000045184,2.5925720840000395,7.901217374999987,9.790635249999923,8000
2000,6,1.0,5,0.002491300559954987,0.003033685722490646,0.00267850270867619,0.97008137668712,0.27981203187411063,13.246477166999966,0.018741792000014357,0.013806708999936745,1.529890708000039,0.8640471249999564,7.0845297500000015,8000
2000,7,1.0,5,0.0023522230836956768,0.0030921132862050697,0.0030691254000471233,0.8287395590182203,0.21666085066446708,13.593636875000016,0.011312333000091712,0.006621291999977075,1.184585458000015,1.5783135829999537,8.448864749999984,8000
2000,8,1.0,5,0.0025226187425546353,0.003117660931801885,0.003856858563335759,0.14594929746072346,0.14506499859834274,14.105771790999938,0.011177791999898545,0.006674958000076003,1.1887128750000784,7.977200917000005,12.517126500000018,8000
2000,9,1.0,5,0.002354831833414757,0.002953916999620404,0.0030179708322708105,0.29560696712104173,0.511660173849948,13.530223666999973,0.012140625000029104,0.006266416000016761,1.163055874999941,4.607608041999924,4.549253709000141,8000
2000,10,1.0,5,0.0025243579453023157,0.0029689065891661953,0.002381083644340751,0.18107069854963054,0.5842169989344218,13.03047708300005,0.010639916000172889,0.00628583399998206,1.1489148750001732,6.817313333000129,3.834855207999908,8000
